2014-07-17-09 AM,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,117132,105800,222932
2014-07-17-09 AM,DKI JAKARTA,JAKARTA TIMUR,PULOGADUNG,74138,81732,155870
2014-07-17-09 AM,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,72928,56525,129453
2014-07-17-09 PM,DKI JAKARTA,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,4684,4977,9661
2014-07-17-09 PM,DKI JAKARTA,JAKARTA PUSAT,SENEN,31210,33278,64488
2014-07-17-09 PM,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,81605,119515,201120
2014-07-17-09 PM,DKI JAKARTA,JAKARTA PUSAT,MENTENG,24676,22392,47068
2014-07-17-09 PM,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,43759,114244,158003
2014-07-17-09 PM,DKI JAKARTA,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,2222,3112,5334
2014-07-17-09 PM,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,34891,89315,124206
2014-07-17-09 PM,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,57222,70723,127945
2014-07-17-09 PM,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,22434,54308,76742
2014-07-17-09 PM,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,22009,46806,68815
2014-07-17-09 PM,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,20496,30787,51283
2014-07-17-09 PM,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,93992,169742,263734
2014-07-17-09 PM,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,26630,26216,52846
2014-07-17-09 PM,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,20833,46016,66849
2014-07-17-09 PM,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,93772,74947,168719
2014-07-17-09 PM,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,76241,84957,161198
2014-07-17-09 PM,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,25556,56042,81598
2014-07-17-09 PM,DKI JAKARTA,JAKARTA UTARA,CILINCING,93382,93794,187176
2014-07-17-09 PM,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,44003,42600,86603
2014-07-17-09 PM,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,53703,59416,113119
