KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
LABUHAN DELI,0,0,0
KUTABULUH,1330,5130,6460
JUHAR,651,6993,7644
MUNTE,1389,8829,10218
PATUMBAK,0,0,0
PERCUT SEI TUAN,91428,62678,154106
BARUSJAHE,1115,10680,11795
LUBUK PAKAM,0,0,0
PANTAI LABU,10445,8143,18588
HAMPARAN PERAK,44699,23338,68037
TIGAPANAH,1593,13036,14629
DELI TUA,0,0,0
KUTALIMBARU,0,0,0
SIBOLANGIT,0,0,0
SUNGGAL,0,0,0
STM HILIR,4465,10386,14851
TANJUNG MORAWA,0,0,0
STM HULU,1225,5003,6228
TIGANDERKET,1097,5880,6977
NAMORAMBE,0,0,0
SIANTAR,12917,19726,32643
SILIMAKUTA,626,5254,5880
BERINGIN,12254,13808,26062
DOLOK PARDAMEAN,515,7822,8337
DOLOK SILAU,850,6301,7151
HUTA BAYU RAJA,3696,10975,14671
BANGUN PURBA,4991,6222,11213
PAGAR MERBAU,10146,7753,17899
GALANG,0,0,0
BANDAR MASILAM,6559,5814,12373
UJUNG PADANG,8424,11708,20132
BANDAR,13056,16782,29838
GUNUNG MALIGAS,7665,5511,13176
PANOMBEIAN PANE,3068,7582,10650
RAYA,2199,13824,16023
BANDAR HULUAN,6467,6922,13389
JAWA MARAJA BAH JAMBI,4883,5400,10283
PEMATANG BANDAR,6474,9134,15608
PANCUR BATU,14120,24919,39039
SILOU KAHEAN,2095,6009,8104
DOLOK PANRIBUAN,865,8446,9311
HARANGGAOL HORISON,222,2690,2912
PANEI,2220,9457,11677
DOLOK BATU NANGGAR,11047,10255,21302
GIRSANG SIPANGAN BOLON,860,7009,7869
TAPIAN DOLOK,9783,10642,20425
PEMATANG SIDAMANIK,1896,6648,8544
SIDAMANIK,3902,10164,14066
SEI DADAP,7438,7839,15277
TANAH JAWA,8933,16027,24960
GUNUNG MALELA,8780,9304,18084
JORLANG HATARAN,1949,6265,8214
HATONDUHAN,2079,8167,10246
PURBA,1039,9521,10560
SETIA JANJI,2826,3921,6747
RAYA KAHEAN,2269,6713,8982
BOSAR MALIGAS,8701,11264,19965
MERANTI,3218,6662,9880
SEI KEPAYANG BARAT,2862,2225,5087
RAWANG PANCA ARGA,4490,4739,9229
TELUK DALAM,4211,4397,8608
AEK SONGSONGAN,3259,5662,8921
PAMATANG SILIMA HUTA,323,5053,5376
AIR JOMAN,9421,11402,20823
KOTA KISARAN BARAT,16480,12068,28548
SILAU LAUT,4445,5187,9632
PULO BANDRING,7239,8182,15421
SEI KEPAYANG TIMUR,2391,1179,3570
KOTA KISARAN TIMUR,20541,14396,34937
RAHUNING,4415,4765,9180
AEK KUASAN,4761,7872,12633
SIMPANG EMPAT,7103,10817,17920
TINGGI RAJA,4582,5487,10069
AEK LEDONG,3824,6019,9843
PANAI TENGAH,5368,8405,13773
RANTAU UTARA,24400,16271,40671
PULAU RAKYAT,6746,9180,15926
AIR BATU,9790,9766,19556
RANTAU SELATAN,19295,9890,29185
BRAMPU,1314,2208,3522
BANDAR PASIR MANDOGE,4857,11593,16450
LAE PARIRA,1210,5601,6811
GUNUNG SITEMBER,804,3933,4737
SEI KEPAYANG,2956,4231,7187
TANJUNG BALAI,7629,5422,13051
BANDAR PULAU,4477,6895,11372
PANAI HILIR,6461,7671,14132
PANAI HULU,7452,7769,15221
PANGKATAN,7165,9523,16688
BUNTU PANE,4976,7425,12401
BILAH HILIR,10740,13104,23844
SIEMPAT NEMPU,1109,7533,8642
BILAH HULU,15414,13143,28557
SIDIKALANG,5185,17072,22257
SILIMA PUNGGA PUNGA,1240,5235,6475
TIGALINGGA,1728,9860,11588
BILAH BARAT,10276,6125,16401
SUMBUL,1797,16966,18763
PEGAGAN HILIR,905,6282,7187
SIEMPAT NEMPU HILIR,730,4521,5251
NASSAU,617,3259,3876
SILAHISABUNGAN,200,2090,2290
SIEMPAT NEMPU HULU,2251,6313,8564
BALIGE,1692,16619,18311
TANAH PINEM,1809,9164,10973
PORSEA,758,5734,6492
AJIBATA,191,3686,3877
BORBOR,208,3139,3347
SIGUMPAR,269,3368,3637
ULUAN,297,3850,4147
LUMBAN JULU,242,3990,4232
PARBULUAN,805,8640,9445
SILAEN,414,6305,6719
SIANTAR NARUMONDA,300,2563,2863
PANYABUNGAN KOTA,29000,5814,34814
TAMPAHAN,134,1971,2105
PINTU POHAN MERANTI,574,2485,3059
PARMAKSIAN,762,4203,4965
NATAL,8616,5370,13986
SINUNUKAN,4297,4290,8587
BONATUA LUNASI,279,2402,2681
SITINJO,1038,4314,5352
HABINSARAN,636,6951,7587
LINGGA BAYU,6986,4178,11164
BATAHAN,7227,2751,9978
MUARA BATANG GADIS,4479,2393,6872
RANTO BAEK,4376,1664,6040
LAGUBOTI,781,9000,9781
BATANG NATAL,9102,2683,11785
MUARA SIPONGI,3410,1666,5076
PANYABUNGAN BARAT,4153,683,4836
SIABU,16900,4237,21137
KOTANOPAN,10802,1950,12752
BUKIT MALINTANG,3906,1343,5249
FANAYAMA,0,0,0
LEMBAH SORIK MARAPI,4566,637,5203
NAGA JUANG,845,1062,1907
PANYABUNGAN TIMUR,5181,805,5986
PANYABUNGAN SELATAN,4475,656,5131
ULU PUNGKUT,2232,182,2414
LOLOMATUA,0,0,0
HUTA BARGOT,3140,626,3766
PAKANTAN,725,370,1095
PANYABUNGAN UTARA,6169,2550,8719
PUNCAK SORIK MARAPI,3985,299,4284
GOMO,0,0,0
TAMBANGAN,5476,837,6313
ARAMO,0,0,0
HURUNA,0,0,0
ULUNOYO,0,0,0
SIMUK,0,0,0
BORONADU,0,0,0
MAZINO,1391,5820,7211
LAHUSA,952,10935,11887
TOMA,0,0,0
ONOHAZUMBA,0,0,0
HIBALA,0,0,0
MAZO,851,6331,7182
UMBUNASI,0,0,0
HILIMEGAI,0,0,0
ULUSUSUA,1720,5107,6827
SOMAMBAWA,529,4392,4921
SITELU TALI URANG JEHE,2143,1729,3872
TELUK DALAM,1587,16952,18539
SUSUA,0,0,0
SITELU TALI URANG JULU,599,1122,1721
AMANDRAYA,1376,3881,5257
MANIAMOLO,0,0,0
TANAH MASA,0,0,0
ONAN GANJANG,496,4531,5027
SALAK,855,2621,3476
BAKTIRAJA,208,3339,3547
PAKKAT,0,0,0
ONAN RUNGGU,261,4752,5013
PARANGINAN,0,0,0
TINADA,421,1386,1807
SIEMPAT RUBE,414,1486,1900
KERAJAAN,1262,2414,3676
PAGINDAR,207,346,553
SIJAMAPOLANG,306,2260,2566
RONGGUR NIHUTA,267,3605,3872
SIANJUR MULA MULA,215,4468,4683
POLLUNG,0,0,0
TEBING SYAHBANDAR,10468,5890,16358
PERGETTENG GETTENG SENGKUT,780,971,1751
PARLILITAN,0,0,0
SILINDA,1158,3375,4533
DOLOK SANGGUL,0,0,0
SEI BAMBAN,7063,13952,21015
TEBING TINGGI,12524,9286,21810
NAINGGOLAN,297,5292,5589
LINTONG NIHUTA,1419,13138,14557
HARIAN,363,3524,3887
KOTARIH,1591,2761,4352
PALIPI,358,7874,8232
TARABINTANG,0,0,0
SIMANINDO,479,10367,10846
DOLOK MASIHUL,13599,12301,25900
TANJUNG BERINGIN,7955,7942,15897
BINTANG BAYU,3783,2781,6564
DOLOK MERAWAN,5940,3684,9624
MEDANG DERAS,10611,10600,21211
TALAWI,10748,13683,24431
BANDAR KHALIFAH,4193,7930,12123
PANGURURAN,966,13704,14670
SERBA JADI,4518,5707,10225
PANTAI CERMIN,11276,9103,20379
SIPISPIS,7929,8827,16756
